Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
bricked ai,1,1,320,35,6.17,https://bricked.ai/,256,80.25,1579.00,0.09,0,"0, 0, 0, 2, 23, 2, 19, 81, 66, 100, 100, 100",2026-08-18,"Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Organic
arv calculator,6,6,1300,7,2.36,https://bricked.ai/best/arv-calculators-for-real-estate-investors,31,9.71,73.00,0.48,121,"84, 68, 68, 68, 68, 68, 68, 68, 68, 68, 52, 52",2026-09-13,"Reviews, Video, People also ask, Related searches, AI overview",commercial,Organic
brickedai,1,1,110,23,0.04,https://bricked.ai/,27,8.46,1.00,0.01,169,"18, 100, 29, 14, 14, 10, 18, 18, 14, 10, 4, 18",2026-08-12,"Sitelinks, Reviews, Video, Related searches",informational,Organic
house flipping software,9,9,590,9,4.89,https://bricked.ai/best/house-flipping-software,2,0.62,9.00,0.27,111,"59, 59, 48, 48, 59, 72, 100, 59, 59, 48, 48, 48",2026-09-18,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
wholesaling software,5,5,70,3,21.35,https://bricked.ai/best/wholesaling-software,1,0.31,21.00,0.45,188,"41, 52, 64, 41, 52, 64, 82, 29, 52, 29, 29, 17",2026-09-12,"Reviews, Video, Video Carousel, People also ask, Related searches, AI overview","commercial, informational",Organic
chatarv,10,10,1900,24,0.00,https://bricked.ai/alternatives/chatarv-alternatives,1,0.31,0.00,0.33,108,"28, 24, 28, 66, 100, 15, 36, 28, 19, 5, 15, 4",2026-09-13,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",navigational,Organic
real estate comp software,1,1,30,20,9.49,https://bricked.ai/,1,0.31,9.00,0.77,115,"45, 36, 18, 18, 18, 18, 18, 27, 27, 36, 18, 9",2026-09-13,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
flashcma,27,27,40,11,17.34,https://bricked.ai/best/cma-software-for-real-estate-agents,0,0,0.00,0.33,151,"18, 100, 18, 36, 18, 18, 18, 18, 63, 45, 18, 18",2026-08-20,"Sitelinks, Reviews, Video, AI overview",navigational,Organic
new silver arv calculator,17,17,40,10,4.21,https://bricked.ai/best/arv-calculators-for-real-estate-investors,0,0,0.00,0.34,100,"45, 36, 27, 100, 81, 18, 27, 36, 27, 18, 18, 36",2026-09-05,"Reviews, Video, Related searches",informational,Organic
flipping software,18,18,320,14,6.57,https://bricked.ai/best/house-flipping-software,0,0,0.00,0.09,112,"66, 66, 82, 82, 82, 82, 100, 100, 100, 82, 82, 82",2026-09-16,"Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
