Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Frame,Form,First seen,Last seen
6,Bricked AI Lets Investors Underwrite Real Estate Deals in 15 Seconds,https://completeaitraining.com/news/bricked-ai-lets-investors-underwrite-real-estate-deals-in/,https://bricked.ai/?ref=completeaitraining.com,bricked.ai,7,207,true,false,false,2026-01-20,2026-07-22
6,"AI Property Valuation Tool: Viability Score 72/100, $8B TAM Market | IdeaProof",https://ideaproof.io/startup-idea/ai-property-valuation,https://bricked.ai/,Bricked,12,25,true,false,false,2026-07-16,2026-09-10
5,"Bricked AI Underwrites Real Estate Deals in 15 Seconds with Appraiser-Style Comps, ARV, and Rehab Costs",https://completeaitraining.com/news/bricked-ai-underwrites-real-estate-deals-in-15-seconds-with/,https://bricked.ai/?ref=completeaitraining.com,Get details and try Bricked AI,7,208,true,false,false,2026-01-14,2026-05-30
3,"How to Underwrite Deals Faster with AI (Comps, ARV, Rehab + Offers in Minutes) - Investor Fuel",https://investorfuel.com/real-estate-pros-show/how-to-underwrite-deals-faster-with-ai-comps-arv-rehab-offers-in-minutes/,https://bricked.ai/,Abhi Bharatham’s Website,10,68,false,false,false,2025-12-21,2026-09-18
2,How AI Is Reshaping Real Estate Deal Analysis in 15 Seconds - KeyCrew,https://keycrew.co/journal/how-ai-is-reshaping-real-estate-deal-analysis-in-15-seconds/,https://bricked.ai/,Bricked AI,2,63,false,false,false,2026-02-03,2026-09-15
2,How AI Is Taking the Guesswork Out of Home Pricing - KeyCrew,https://keycrew.co/journal/how-ai-is-taking-the-guesswork-out-of-home-pricing/,https://bricked.ai/,Bricked AI,2,57,false,false,false,2026-03-17,2026-09-21
2,Investor Data Reveals Overlooked Opportunities Beyond Single-Family Homes and Land - KeyCrew,https://keycrew.co/journal/investor-data-reveals-overlooked-opportunities-beyond-single-family-homes-and-land/,https://bricked.ai/,Bricked AI,2,67,false,false,false,2026-03-01,2026-09-05
1,Bricked AI Launches AI Tool Eliminating Manual Real Estate Comping | Economic Policy Times,https://economicpolicytimes.com/article/882078978-bricked-ai-launches-ai-tool-eliminating-manual-real-estate-comping,https://bricked.ai/,https://bricked.ai,25,22,true,false,false,2026-03-31,2026-09-15
1,Bricked AI Launches AI Tool Eliminating Manual Real Estate Comping | Economic Policy Times,https://economicpolicytimes.com/article/882078978-bricked-ai-launches-ai-tool-eliminating-manual-real-estate-comping,https://bricked.ai/,real estate comping,25,22,true,false,false,2026-03-31,2026-09-15
1,Bricked AI Launches AI Tool Eliminating Manual Real Estate Comping | Economic Policy Times,https://economicpolicytimes.com/article/882078978-bricked-ai-launches-ai-tool-eliminating-manual-real-estate-comping,https://bricked.ai/discord,Other,25,22,true,false,false,2026-03-31,2026-09-15
1,Bricked AI Launches AI Tool Eliminating Manual Real Estate Comping | Economic Policy Times,https://economicpolicytimes.com/article/882078978-bricked-ai-launches-ai-tool-eliminating-manual-real-estate-comping,https://bricked.ai/,Bricked AI,25,22,true,false,false,2026-03-31,2026-09-15
0,Business Archives - Page 1437 of 2416 - Aberdeen News - XPR,http://aberdeennews.xpr-gannett.com/press-release/story/category/business/page/1437/,https://bricked.ai/,Bricked AI,58,28,true,false,false,2026-02-20,2026-04-05
0,Business Archives - Page 1437 of 2416 - Aberdeen News - XPR,http://aberdeennews.xpr-gannett.com/press-release/story/category/business/page/1437/,https://bricked.ai/,https://bricked.ai,58,28,true,false,false,2026-02-20,2026-04-05
0,Business Archives - Page 1437 of 2416 - Aberdeen News - XPR,http://aberdeennews.xpr-gannett.com/press-release/story/category/business/page/1437/,https://bricked.ai/,real estate comping,58,28,true,false,false,2026-02-20,2026-04-05
0,Business Archives - Page 1437 of 2416 - Aberdeen News - XPR,http://aberdeennews.xpr-gannett.com/press-release/story/category/business/page/1437/,https://bricked.ai/discord,Other,58,28,false,false,false,2026-02-20,2026-04-05
0,Business Archives - Page 291 of 1270 - Aberdeen News - XPR,http://aberdeennews.xpr-gannett.com/press-release/story/category/business/page/291/,https://bricked.ai/,https://bricked.ai,87,28,true,false,false,2026-02-03,2026-03-07
